reader count,average time
0,268
1,268
2,266
3,262
4,260
5,257
6,255
7,251
8,249
9,246
10,244
11,241
12,239
13,235
14,228
15,227
16,224
17,222
18,218
19,217
20,215
21,209
22,208
23,205
24,202
25,200
26,197
27,196
28,199
29,197
30,195
31,192
32,189
33,188
34,184
35,180
36,178
37,174
38,172
39,170
40,168
41,165
42,163
43,162
44,159
45,157
46,155
47,152
48,149
49,144
50,140
51,137
52,135
53,132
54,131
55,128
56,123
57,122
58,118
59,119
60,113
61,112
62,109
63,104
64,102
65,100
66,100
67,97
68,93
69,91
70,88
71,85
72,83
73,82
74,80
75,77
76,73
77,85
78,85
79,84
80,82
81,81
82,83
83,76
84,83
85,83
86,86
87,90
88,83
89,85
90,77
91,73
92,68
93,69
94,70
95,68
96,74
97,70
98,37
99,33
100,30
