reader count,average time
0,265
1,263
2,265
3,264
4,263
5,264
6,264
7,269
8,269
9,269
10,269
11,269
12,269
13,269
14,271
15,271
16,271
17,271
18,271
19,271
20,271
21,270
22,272
23,273
24,273
25,273
26,273
27,273
28,269
29,269
30,268
31,268
32,268
33,268
34,268
35,268
36,268
37,268
38,268
39,267
40,267
41,268
42,264
43,263
44,264
45,264
46,263
47,264
48,263
49,265
50,265
51,265
52,265
53,265
54,265
55,265
56,266
57,265
58,268
59,266
60,267
61,268
62,267
63,260
64,259
65,259
66,259
67,259
68,259
69,260
70,264
71,264
72,263
73,263
74,263
75,263
76,264
77,258
78,258
79,258
80,258
81,258
82,258
83,258
84,266
85,266
86,266
87,267
88,267
89,267
90,266
91,264
92,264
93,264
94,264
95,264
96,264
97,264
98,256
99,255
100,255
