Philosopher count: 1, Average time: 228 ms
Philosopher count: 2, Average time: 227 ms
Philosopher count: 3, Average time: 227 ms
Philosopher count: 4, Average time: 223 ms
Philosopher count: 5, Average time: 222 ms
Philosopher count: 6, Average time: 219 ms
Philosopher count: 7, Average time: 218 ms
Philosopher count: 8, Average time: 216 ms
Philosopher count: 9, Average time: 214 ms
Philosopher count: 10, Average time: 211 ms
Philosopher count: 11, Average time: 208 ms
Philosopher count: 12, Average time: 208 ms
Philosopher count: 13, Average time: 207 ms
Philosopher count: 14, Average time: 204 ms
Philosopher count: 15, Average time: 202 ms
Philosopher count: 16, Average time: 199 ms
Philosopher count: 17, Average time: 193 ms
Philosopher count: 18, Average time: 190 ms
Philosopher count: 19, Average time: 188 ms
Philosopher count: 20, Average time: 187 ms
Philosopher count: 21, Average time: 184 ms
Philosopher count: 22, Average time: 183 ms
Philosopher count: 23, Average time: 180 ms
Philosopher count: 24, Average time: 177 ms
Philosopher count: 25, Average time: 175 ms
Philosopher count: 26, Average time: 173 ms
Philosopher count: 27, Average time: 171 ms
Philosopher count: 28, Average time: 169 ms
Philosopher count: 29, Average time: 167 ms
Philosopher count: 30, Average time: 166 ms
Philosopher count: 31, Average time: 163 ms
Philosopher count: 32, Average time: 161 ms
Philosopher count: 33, Average time: 161 ms
Philosopher count: 34, Average time: 159 ms
Philosopher count: 35, Average time: 156 ms
Philosopher count: 36, Average time: 154 ms
Philosopher count: 37, Average time: 152 ms
Philosopher count: 38, Average time: 151 ms
Philosopher count: 39, Average time: 151 ms
Philosopher count: 40, Average time: 147 ms
Philosopher count: 41, Average time: 145 ms
Philosopher count: 42, Average time: 142 ms
Philosopher count: 43, Average time: 140 ms
Philosopher count: 44, Average time: 138 ms
Philosopher count: 45, Average time: 136 ms
Philosopher count: 46, Average time: 134 ms
Philosopher count: 47, Average time: 131 ms
Philosopher count: 48, Average time: 126 ms
Philosopher count: 49, Average time: 128 ms
Philosopher count: 50, Average time: 128 ms
Philosopher count: 51, Average time: 126 ms
Philosopher count: 52, Average time: 122 ms
Philosopher count: 53, Average time: 121 ms
Philosopher count: 54, Average time: 119 ms
Philosopher count: 55, Average time: 117 ms
Philosopher count: 56, Average time: 115 ms
Philosopher count: 57, Average time: 110 ms
Philosopher count: 58, Average time: 112 ms
Philosopher count: 59, Average time: 109 ms
Philosopher count: 60, Average time: 105 ms
Philosopher count: 61, Average time: 104 ms
Philosopher count: 62, Average time: 101 ms
Philosopher count: 63, Average time: 100 ms
Philosopher count: 64, Average time: 97 ms
Philosopher count: 65, Average time: 116 ms
Philosopher count: 66, Average time: 112 ms
Philosopher count: 67, Average time: 112 ms
Philosopher count: 68, Average time: 106 ms
Philosopher count: 69, Average time: 110 ms
Philosopher count: 70, Average time: 100 ms
Philosopher count: 71, Average time: 99 ms
Philosopher count: 72, Average time: 99 ms
Philosopher count: 73, Average time: 98 ms
Philosopher count: 74, Average time: 96 ms
Philosopher count: 75, Average time: 92 ms
Philosopher count: 76, Average time: 92 ms
Philosopher count: 77, Average time: 88 ms
Philosopher count: 78, Average time: 94 ms
Philosopher count: 79, Average time: 94 ms
Philosopher count: 80, Average time: 82 ms
Philosopher count: 81, Average time: 99 ms
Philosopher count: 82, Average time: 99 ms
Philosopher count: 83, Average time: 106 ms
Philosopher count: 84, Average time: 100 ms
Philosopher count: 85, Average time: 89 ms
Philosopher count: 86, Average time: 97 ms
Philosopher count: 87, Average time: 93 ms
Philosopher count: 88, Average time: 96 ms
Philosopher count: 89, Average time: 95 ms
Philosopher count: 90, Average time: 95 ms
Philosopher count: 91, Average time: 95 ms
Philosopher count: 92, Average time: 80 ms
Philosopher count: 93, Average time: 92 ms
Philosopher count: 94, Average time: 87 ms
Philosopher count: 95, Average time: 89 ms
Philosopher count: 96, Average time: 87 ms
Philosopher count: 97, Average time: 33 ms
Philosopher count: 98, Average time: 32 ms
Philosopher count: 99, Average time: 32 ms
Philosopher count: 100, Average time: 28 ms
